JDHEL V-C s1 V-K1 s2 C-K1 s3 HELCOR AIRMASS
Aperture: 3, Filter: IRCUT, JD: heliocentric
2461159.3628314 99.99999 9.99999 99.99999 9.99999 -0.35979 0.06519 0.0008100 1.6157
2461159.3629638 1.32529 0.11543 0.87319 0.12203 -0.45211 0.06403 0.0008100 1.6148
2461159.3631815 1.18526 0.10393 0.69008 0.11183 -0.49518 0.06395 0.0008100 1.6134
2461159.3633143 99.99999 9.99999 99.99999 9.99999 -0.27439 0.05856 0.0008100 1.6125
2461159.3634481 1.32584 0.13130 0.99764 0.13554 -0.32820 0.06081 0.0008100 1.6116
2461159.3635821 99.99999 9.99999 99.99999 9.99999 -0.27072 0.05958 0.0008100 1.6107
2461159.3637152 1.07375 0.10882 99.99999 9.99999 99.99999 9.99999 0.0008100 1.6098
2461159.3642194 1.25071 0.11121 0.62579 0.12277 -0.62491 0.06970 0.0008100 1.6064
2461159.3643517 1.25436 0.11592 99.99999 9.99999 99.99999 9.99999 0.0008100 1.6056
2461159.3644854 1.22604 0.11153 0.85092 0.11723 -0.37512 0.06187 0.0008100 1.6047
2461159.3647270 1.36652 0.12040 0.92816 0.12628 -0.43836 0.06125 0.0008100 1.6031
2461159.3648597 1.27226 0.12370 1.01856 0.12749 -0.25370 0.06041 0.0008100 1.6022
2461159.3649932 1.32346 0.14716 1.17092 0.14908 -0.15254 0.06210 0.0008100 1.6013
2461159.3651266 1.59442 0.14831 1.14607 0.15314 -0.44834 0.06084 0.0008100 1.6005
2461159.3652602 1.28898 0.12578 0.96103 0.12976 -0.32796 0.06041 0.0008100 1.5996
2461159.3655059 1.42165 0.13086 1.05448 0.13575 -0.36717 0.06091 0.0008100 1.5980
2461159.3656386 99.99999 9.99999 99.99999 9.99999 -0.34117 0.05758 0.0008100 1.5971
2461159.3657724 99.99999 9.99999 99.99999 9.99999 -0.37584 0.06019 0.0008101 1.5962
2461159.3659057 1.29069 0.12321 1.04355 0.12593 -0.24715 0.05620 0.0008101 1.5953
2461159.3660391 99.99999 9.99999 99.99999 9.99999 -0.34208 0.06270 0.0008101 1.5945
2461159.3662800 99.99999 9.99999 99.99999 9.99999 -0.34182 0.07079 0.0008101 1.5929
2461159.3664121 1.54292 0.14626 1.13147 0.15027 -0.41146 0.05967 0.0008101 1.5920
2461159.3665464 1.50764 0.15150 1.23764 0.15478 -0.27000 0.05968 0.0008101 1.5912
2461159.3666801 99.99999 9.99999 99.99999 9.99999 -0.40791 0.05964 0.0008101 1.5903
2461159.3670327 1.63096 0.15267 1.22017 0.15701 -0.41079 0.06083 0.0008101 1.5880
2461159.3671651 1.17126 0.11802 0.93139 0.12209 -0.23986 0.06247 0.0008101 1.5871
2461159.3672984 99.99999 9.99999 0.83737 0.11887 99.99999 9.99999 0.0008101 1.5863
2461159.3674320 1.52256 0.13785 1.21223 0.14090 -0.31033 0.05642 0.0008101 1.5854
2461159.3675662 1.36054 0.13825 1.14222 0.14111 -0.21832 0.06055 0.0008101 1.5846
2461159.3679388 1.26515 0.12861 1.03566 0.13131 -0.22949 0.05830 0.0008101 1.5822
2461159.3680714 1.45550 0.13113 1.20535 0.13355 -0.25015 0.05454 0.0008101 1.5813
2461159.3682045 1.30493 0.12946 0.89430 0.13507 -0.41063 0.06469 0.0008101 1.5805
2461159.3683377 99.99999 9.99999 99.99999 9.99999 -0.33933 0.06339 0.0008101 1.5796
2461159.3685749 1.19904 0.12194 1.02358 0.12418 -0.17545 0.05895 0.0008101 1.5781
2461159.3687073 1.35127 0.14574 1.17200 0.14791 -0.17928 0.06253 0.0008101 1.5772
2461159.3688401 99.99999 9.99999 99.99999 9.99999 -0.44029 0.05946 0.0008101 1.5764
2461159.3689729 1.28636 0.14194 1.10294 0.14395 -0.18341 0.06216 0.0008101 1.5755
2461159.3691060 1.29611 0.11338 0.98556 0.11702 -0.31055 0.05674 0.0008101 1.5747
2461159.3693541 1.36129 0.12780 1.00691 0.13196 -0.35438 0.05823 0.0008101 1.5731
2461159.3694864 99.99999 9.99999 99.99999 9.99999 -0.16696 0.05701 0.0008101 1.5723
2461159.3696194 99.99999 9.99999 99.99999 9.99999 -0.44324 0.06237 0.0008101 1.5714
2461159.3698874 1.41031 0.12577 0.96267 0.13099 -0.44764 0.05918 0.0008102 1.5698
2461159.3701085 99.99999 9.99999 99.99999 9.99999 -0.38985 0.06851 0.0008102 1.5684
2461159.3702411 1.48065 0.13670 1.13285 0.14060 -0.34779 0.05692 0.0008102 1.5675
2461159.3703751 1.68208 0.16931 1.32376 0.17241 -0.35832 0.06019 0.0008102 1.5667
2461159.3705095 99.99999 9.99999 99.99999 9.99999 -0.29354 0.05780 0.0008102 1.5658
2461159.3706431 99.99999 9.99999 99.99999 9.99999 -0.38244 0.05737 0.0008102 1.5650
2461159.3708808 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0008102 1.5635
2461159.3710128 99.99999 9.99999 99.99999 9.99999 -0.36193 0.06291 0.0008102 1.5627
2461159.3711458 1.09563 0.11937 99.99999 9.99999 99.99999 9.99999 0.0008102 1.5618
2461159.3712790 99.99999 9.99999 99.99999 9.99999 -0.32303 0.06203 0.0008102 1.5610
2461159.3714061 99.99999 9.99999 99.99999 9.99999 -0.34303 0.06723 0.0008102 1.5602
2461159.3716555 99.99999 9.99999 99.99999 9.99999 -0.49311 0.06346 0.0008102 1.5587
2461159.3717878 1.38990 0.14470 99.99999 9.99999 99.99999 9.99999 0.0008102 1.5578
2461159.3719205 1.43280 0.13110 1.08977 0.13542 -0.34303 0.05892 0.0008102 1.5570
2461159.3720541 1.32451 0.13290 0.99352 0.13683 -0.33099 0.06104 0.0008102 1.5562
2461159.3721880 1.37216 0.12689 1.03584 0.13064 -0.33632 0.05750 0.0008102 1.5554
2461159.3724328 99.99999 9.99999 99.99999 9.99999 -0.39755 0.05802 0.0008102 1.5539
2461159.3725650 99.99999 9.99999 99.99999 9.99999 -0.23010 0.05549 0.0008102 1.5530
2461159.3726996 99.99999 9.99999 99.99999 9.99999 -0.39858 0.05583 0.0008102 1.5522
2461159.3728334 99.99999 9.99999 99.99999 9.99999 -0.30397 0.05693 0.0008102 1.5514
2461159.3729666 1.15781 0.11087 0.92455 0.11387 -0.23325 0.05615 0.0008102 1.5506
2461159.3732156 99.99999 9.99999 99.99999 9.99999 -0.33448 0.05905 0.0008102 1.5490
2461159.3733476 99.99999 9.99999 99.99999 9.99999 -0.53223 0.06719 0.0008102 1.5482
2461159.3734806 1.26782 0.11460 1.01753 0.11736 -0.25029 0.05377 0.0008102 1.5474
2461159.3736138 99.99999 9.99999 1.08958 0.13371 99.99999 9.99999 0.0008102 1.5466
2461159.3737477 1.40130 0.12078 1.06298 0.12487 -0.33832 0.05586 0.0008103 1.5458
2461159.3739939 99.99999 9.99999 99.99999 9.99999 -0.68895 0.08666 0.0008103 1.5443
2461159.3741259 99.99999 9.99999 99.99999 9.99999 -0.14529 0.05858 0.0008103 1.5435
2461159.3743916 99.99999 9.99999 99.99999 9.99999 -0.30865 0.05482 0.0008103 1.5419
2461159.3745240 1.43637 0.12274 0.96931 0.12813 -0.46706 0.05831 0.0008103 1.5411
2461159.3747578 1.36541 0.12847 1.13097 0.13150 -0.23444 0.05677 0.0008103 1.5396
2461159.3748902 99.99999 9.99999 99.99999 9.99999 -0.25495 0.05567 0.0008103 1.5388
2461159.3750239 1.14850 0.11860 0.89834 0.12163 -0.25017 0.06211 0.0008103 1.5380
2461159.3751582 1.37416 0.13133 0.90251 0.13693 -0.47164 0.06364 0.0008103 1.5372
2461159.3752914 99.99999 9.99999 99.99999 9.99999 -0.43236 0.05770 0.0008103 1.5364
2461159.3755422 1.34330 0.15099 1.23702 0.15257 -0.10628 0.06220 0.0008103 1.5349
2461159.3758077 1.39898 0.11675 0.83875 0.12399 -0.56023 0.06136 0.0008103 1.5333
2461159.3759409 1.64176 0.15715 99.99999 9.99999 99.99999 9.99999 0.0008103 1.5325
2461159.3762858 1.58872 0.14693 1.09945 0.15181 -0.48927 0.05957 0.0008103 1.5305
2461159.3764185 99.99999 9.99999 1.19490 0.16528 99.99999 9.99999 0.0008103 1.5297
2461159.3765519 1.71769 0.16652 1.33917 0.16996 -0.37852 0.05701 0.0008103 1.5289
2461159.3766850 1.47521 0.14671 1.16929 0.15090 -0.30592 0.06188 0.0008103 1.5281
2461159.3768184 99.99999 9.99999 99.99999 9.99999 -0.39882 0.05849 0.0008103 1.5273
2461159.3770317 99.99999 9.99999 99.99999 9.99999 -0.25921 0.05488 0.0008103 1.5260
2461159.3771644 1.47623 0.12748 1.02471 0.13247 -0.45152 0.05835 0.0008103 1.5252
2461159.3772977 99.99999 9.99999 99.99999 9.99999 -0.27709 0.05294 0.0008103 1.5244
2461159.3774311 99.99999 9.99999 99.99999 9.99999 -0.36290 0.05585 0.0008103 1.5237
2461159.3775643 1.38513 0.12691 1.08008 0.13076 -0.30505 0.05628 0.0008103 1.5229
2461159.3778107 1.61697 0.14472 1.38875 0.14665 -0.22823 0.05144 0.0008104 1.5214
2461159.3779432 1.93083 0.20627 99.99999 9.99999 99.99999 9.99999 0.0008104 1.5206
2461159.3780764 99.99999 9.99999 99.99999 9.99999 -0.21347 0.05444 0.0008104 1.5198
2461159.3782105 1.57206 0.14860 1.24582 0.15130 -0.32623 0.05316 0.0008104 1.5191
2461159.3783436 1.30793 0.11552 1.02437 0.11896 -0.28355 0.05338 0.0008104 1.5183
2461159.3785914 99.99999 9.99999 99.99999 9.99999 -0.39748 0.06744 0.0008104 1.5168
2461159.3787245 1.58402 0.14190 1.34961 0.14463 -0.23441 0.05330 0.0008104 1.5160
2461159.3788575 1.23420 0.12409 1.09459 0.12602 -0.13961 0.05716 0.0008104 1.5153
2461159.3789910 1.46224 0.13059 1.15582 0.13431 -0.30642 0.05635 0.0008104 1.5145
2461159.3791253 1.37358 0.13951 1.18162 0.14156 -0.19196 0.06020 0.0008104 1.5137
2461159.3793685 99.99999 9.99999 99.99999 9.99999 -0.47150 0.06430 0.0008104 1.5123
2461159.3795008 1.35493 0.12299 0.91605 0.12888 -0.43889 0.06163 0.0008104 1.5115
2461159.3796334 1.50126 0.13247 1.04600 0.13771 -0.45526 0.05896 0.0008104 1.5108
2461159.3797658 1.67656 0.15049 1.28188 0.15354 -0.39468 0.05283 0.0008104 1.5100
2461159.3798989 1.46542 0.13570 1.17100 0.13878 -0.29441 0.05690 0.0008104 1.5092
2461159.3801487 99.99999 9.99999 99.99999 9.99999 -0.47469 0.06209 0.0008104 1.5078
2461159.3802810 1.54911 0.15373 1.32910 0.15613 -0.22001 0.05742 0.0008104 1.5070
2461159.3804140 99.99999 9.99999 99.99999 9.99999 -0.33591 0.05765 0.0008104 1.5062
2461159.3805469 99.99999 9.99999 99.99999 9.99999 -0.17958 0.05346 0.0008104 1.5055
2461159.3806804 99.99999 9.99999 99.99999 9.99999 -0.45245 0.05937 0.0008104 1.5047
2461159.3810541 1.71746 0.16783 1.23051 0.17225 -0.48695 0.06028 0.0008104 1.5026
2461159.3811863 1.40036 0.12034 1.07407 0.12413 -0.32630 0.05300 0.0008104 1.5018
2461159.3813206 1.25808 0.12070 0.96380 0.12420 -0.29428 0.05853 0.0008104 1.5010
2461159.3814547 1.28204 0.11590 99.99999 9.99999 99.99999 9.99999 0.0008104 1.5003
2461159.3816976 99.99999 9.99999 99.99999 9.99999 -0.29568 0.05514 0.0008105 1.4989
2461159.3818305 99.99999 9.99999 99.99999 9.99999 -0.29619 0.05406 0.0008105 1.4981
2461159.3819639 99.99999 9.99999 99.99999 9.99999 -0.36365 0.05514 0.0008105 1.4974
2461159.3820968 1.52046 0.14123 1.20833 0.14429 -0.31212 0.05464 0.0008105 1.4966
2461159.3822313 1.46201 0.14199 1.26165 0.14406 -0.20037 0.05525 0.0008105 1.4959
2461159.3824755 1.41420 0.13112 1.04283 0.13608 -0.37137 0.05905 0.0008105 1.4945
2461159.3828751 1.66693 0.13416 0.96421 0.14185 -0.70271 0.06161 0.0008105 1.4922
2461159.3830072 1.22517 0.10844 0.90471 0.11270 -0.32047 0.05491 0.0008105 1.4915
2461159.3831409 1.19521 0.10451 0.88146 0.10839 -0.31375 0.05499 0.0008105 1.4907
2461159.3833872 1.48257 0.14406 1.03765 0.14945 -0.44491 0.06338 0.0008105 1.4893
2461159.3835199 99.99999 9.99999 99.99999 9.99999 -0.32016 0.05871 0.0008105 1.4886
2461159.3836534 1.53518 0.12786 1.12873 0.13154 -0.40645 0.05296 0.0008105 1.4879
2461159.3837872 1.17850 0.11460 1.00502 0.11626 -0.17349 0.05479 0.0008105 1.4871
2461159.3839205 1.16906 0.10827 1.05723 0.10983 -0.11184 0.05323 0.0008105 1.4864
2461159.3841627 99.99999 9.99999 99.99999 9.99999 -0.36113 0.06378 0.0008105 1.4850
2461159.3842949 99.99999 9.99999 99.99999 9.99999 -0.40042 0.05597 0.0008105 1.4843
2461159.3844283 99.99999 9.99999 99.99999 9.99999 -0.37827 0.05995 0.0008105 1.4835
2461159.3845616 1.37980 0.11851 1.02255 0.12281 -0.35725 0.05615 0.0008105 1.4828
2461159.3846965 99.99999 9.99999 1.26618 0.14511 99.99999 9.99999 0.0008105 1.4820
2461159.3849390 1.43203 0.12791 1.05435 0.13277 -0.37767 0.05704 0.0008105 1.4807
2461159.3850713 1.34625 0.13021 0.99907 0.13493 -0.34718 0.06072 0.0008105 1.4800
2461159.3852038 1.38584 0.12148 1.04831 0.12448 -0.33753 0.05307 0.0008105 1.4792
2461159.3853383 1.31791 0.11346 99.99999 9.99999 99.99999 9.99999 0.0008105 1.4785
2461159.3854721 1.28893 0.11964 1.14463 0.12098 -0.14430 0.05245 0.0008106 1.4778
2461159.3857125 1.39541 0.11533 0.98564 0.11970 -0.40977 0.05535 0.0008106 1.4764
2461159.3858455 99.99999 9.99999 99.99999 9.99999 -0.25221 0.05939 0.0008106 1.4757
2461159.3859782 99.99999 9.99999 99.99999 9.99999 -0.42336 0.05950 0.0008106 1.4750
2461159.3861125 1.21329 0.11073 0.92433 0.11518 -0.28896 0.05897 0.0008106 1.4742
2461159.3862458 1.30219 0.12227 1.07034 0.12536 -0.23185 0.05465 0.0008106 1.4735
2461159.3864951 99.99999 9.99999 99.99999 9.99999 -0.32780 0.05820 0.0008106 1.4721
2461159.3866280 1.20233 0.10597 0.94657 0.10905 -0.25576 0.05279 0.0008106 1.4714
2461159.3867608 1.18068 0.10298 0.87072 0.10804 -0.30995 0.05516 0.0008106 1.4707
2461159.3868940 1.54100 0.12667 1.03072 0.13186 -0.51028 0.05532 0.0008106 1.4700
2461159.3870282 99.99999 9.99999 99.99999 9.99999 -0.33089 0.05649 0.0008106 1.4692
2461159.3872661 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0008106 1.4680
2461159.3873985 99.99999 9.99999 99.99999 9.99999 -0.42816 0.05738 0.0008106 1.4672
2461159.3875323 99.99999 9.99999 99.99999 9.99999 -0.28076 0.05183 0.0008106 1.4665
2461159.3876676 1.42894 0.12555 1.03148 0.13061 -0.39746 0.05740 0.0008106 1.4658
2461159.3878015 1.55924 0.13326 1.02977 0.13902 -0.52948 0.05921 0.0008106 1.4651
2461159.3880514 99.99999 9.99999 99.99999 9.99999 -0.40327 0.06343 0.0008106 1.4637
2461159.3881836 99.99999 9.99999 99.99999 9.99999 -0.16833 0.05707 0.0008106 1.4630
2461159.3883171 1.61907 0.13720 1.25649 0.14041 -0.36258 0.05177 0.0008106 1.4623
