JDHEL V-C s1 V-K1 s2 C-K1 s3 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461182.3296295 -0.42084 0.11126 0.96441 0.06843 1.38525 0.09415 0.0039905 1.9392
2461182.3297620 -0.35623 0.10231 0.91437 0.06498 1.27060 0.08692 0.0039905 1.9393
2461182.3298961 -0.34067 0.10324 0.86010 0.06791 1.20077 0.08705 0.0039905 1.9395
2461182.3300298 -0.31127 0.10415 0.94204 0.06974 1.25331 0.08612 0.0039904 1.9397
2461182.3301627 -0.31751 0.10534 0.87027 0.07001 1.18777 0.08763 0.0039904 1.9399
2461182.3304935 -0.26491 0.10388 1.01056 0.06918 1.27547 0.08510 0.0039904 1.9404
2461182.3306255 -0.46917 0.09648 99.99999 9.99999 99.99999 9.99999 0.0039904 1.9406
2461182.3307599 -0.31197 0.11029 1.05422 0.07260 1.36619 0.09002 0.0039904 1.9407
2461182.3308939 -0.25101 0.09635 0.96580 0.06245 1.21680 0.08036 0.0039904 1.9409
2461182.3310932 -0.33201 0.09025 99.99999 9.99999 99.99999 9.99999 0.0039904 1.9412
2461182.3312256 -0.45272 0.10059 0.92465 0.05772 1.37737 0.08859 0.0039904 1.9414
2461182.3313599 -0.35810 0.09048 1.02565 0.05627 1.38375 0.07652 0.0039904 1.9416
2461182.3316263 -0.30865 0.09024 1.00542 0.05842 1.31407 0.07526 0.0039903 1.9420
2461182.3318231 -0.29095 0.09260 0.96330 0.06061 1.25426 0.07649 0.0039903 1.9423
2461182.3319551 -0.30144 0.09829 1.12074 0.06220 1.42218 0.08150 0.0039903 1.9425
2461182.3320888 -0.31417 0.09097 99.99999 9.99999 99.99999 9.99999 0.0039903 1.9428
2461182.3322231 -0.41241 0.09843 1.03297 0.05902 1.44538 0.08405 0.0039903 1.9430
2461182.3323578 -0.29755 0.08941 1.06895 0.05951 1.36650 0.07239 0.0039903 1.9432
2461182.3325569 -0.34492 0.09149 1.11825 0.05939 1.46317 0.07524 0.0039903 1.9435
2461182.3326893 -0.42244 0.08993 0.96242 0.05496 1.38486 0.07695 0.0039903 1.9437
2461182.3328237 -0.45298 0.09000 99.99999 9.99999 99.99999 9.99999 0.0039902 1.9439
2461182.3329577 -0.50112 0.09097 0.96000 0.05077 1.46112 0.08039 0.0039902 1.9442
2461182.3330912 -0.34744 0.08938 0.88048 0.05582 1.22791 0.07690 0.0039902 1.9444
2461182.3332917 -0.58077 0.11500 99.99999 9.99999 99.99999 9.99999 0.0039902 1.9447
2461182.3334243 99.99999 9.99999 99.99999 9.99999 1.43756 0.09397 0.0039902 1.9449
2461182.3335587 99.99999 9.99999 1.10023 0.06519 99.99999 9.99999 0.0039902 1.9452
2461182.3336936 -0.28996 0.09292 1.06994 0.05984 1.35990 0.07667 0.0039902 1.9454
2461182.3338276 -0.24599 0.09100 99.99999 9.99999 99.99999 9.99999 0.0039902 1.9456
2461182.3340280 99.99999 9.99999 99.99999 9.99999 1.60122 0.08611 0.0039902 1.9460
2461182.3341609 -0.34882 0.08516 0.94160 0.05380 1.29042 0.07191 0.0039902 1.9462
