JDHEL V-C s1 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461218.3730557 -2.74521 0.02159 -0.0003261 1.0425
2461218.3731327 -2.62537 0.02108 -0.0003261 1.0426
2461218.3732104 -2.58886 0.02063 -0.0003261 1.0426
2461218.3733728 -2.79368 0.02231 -0.0003261 1.0427
2461218.3734498 99.99999 9.99999 -0.0003261 1.0428
2461218.3735269 -2.57332 0.01956 -0.0003262 1.0429
2461218.3736044 -2.69984 0.01947 -0.0003262 1.0429
2461218.3736816 -2.58894 0.01880 -0.0003262 1.0430
2461218.3738484 -2.54239 0.01882 -0.0003262 1.0431
2461218.3739260 -2.61074 0.02047 -0.0003262 1.0432
2461218.3740031 -2.71449 0.02068 -0.0003262 1.0432
2461218.3740803 -2.55657 0.01710 -0.0003262 1.0433
2461218.3741593 -2.47463 0.01805 -0.0003262 1.0433
2461218.3743168 -2.50677 0.01887 -0.0003262 1.0434
2461218.3743946 99.99999 9.99999 -0.0003262 1.0435
2461218.3744729 99.99999 9.99999 -0.0003262 1.0436
2461218.3745494 -2.51717 0.01778 -0.0003262 1.0436
2461218.3746277 99.99999 9.99999 -0.0003262 1.0437
2461218.3747858 -2.60093 0.01835 -0.0003262 1.0438
2461218.3748629 -2.50382 0.01906 -0.0003262 1.0439
2461218.3749410 99.99999 9.99999 -0.0003262 1.0439
2461218.3750181 -2.46579 0.01928 -0.0003262 1.0440
2461218.3752547 99.99999 9.99999 -0.0003262 1.0442
2461218.3754265 99.99999 9.99999 -0.0003262 1.0443
2461218.3755043 -2.52093 0.01762 -0.0003262 1.0444
2461218.3755825 -2.50663 0.01913 -0.0003262 1.0444
2461218.3756594 -2.43869 0.01787 -0.0003262 1.0445
2461218.3759095 -2.51351 0.01697 -0.0003262 1.0447
2461218.3759865 -2.57236 0.01918 -0.0003262 1.0447
2461218.3760632 -2.56713 0.01854 -0.0003262 1.0448
2461218.3761403 99.99999 9.99999 -0.0003262 1.0449
2461218.3763837 99.99999 9.99999 -0.0003262 1.0450
2461218.3765385 -2.49491 0.01767 -0.0003262 1.0452
2461218.3766157 99.99999 9.99999 -0.0003262 1.0452
2461218.3767836 99.99999 9.99999 -0.0003263 1.0454
2461218.3768606 -2.04007 0.01557 -0.0003263 1.0454
2461218.3769384 -2.52982 0.01836 -0.0003263 1.0455
2461218.3770156 -2.56965 0.01851 -0.0003263 1.0455
2461218.3770955 -2.49554 0.01715 -0.0003263 1.0456
2461218.3772516 -2.55927 0.01670 -0.0003263 1.0457
2461218.3773289 -2.53225 0.01690 -0.0003263 1.0458
2461218.3774060 -2.46555 0.01845 -0.0003263 1.0459
2461218.3774830 99.99999 9.99999 -0.0003263 1.0459
2461218.3775605 -2.52618 0.01888 -0.0003263 1.0460
2461218.3777251 -2.39226 0.01546 -0.0003263 1.0461
2461218.3778027 99.99999 9.99999 -0.0003263 1.0462
2461218.3779576 -2.42449 0.01783 -0.0003263 1.0463
2461218.3780350 -2.55187 0.01886 -0.0003263 1.0464
2461218.3782019 -2.17396 0.01784 -0.0003263 1.0465
2461218.3782787 99.99999 9.99999 -0.0003263 1.0466
