JDHEL V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 V-K4 s5 C-K1 s6 C-K2 s7 C-K3 s8 C-K4 s9 K1-K2 s10 K1-K3 s11 K1-K4 s12 K2-K3 s13 K2-K4 s14 K3-K4 s15 HELCOR AIRMASS
Aperture: 2, Filter: IRCUT, JD: heliocentric
2461186.3223268 0.07356 0.05361 -0.40615 0.06533 -0.48754 0.07587 -0.35113 0.06912 0.11825 0.05167 -0.47970 0.06479 -0.56110 0.07540 -0.42469 0.06861 0.04469 0.05099 -0.08140 0.08414 0.05501 0.07811 0.52440 0.06320 0.13641 0.08711 0.60579 0.07404 0.46938 0.06711 0.0037056 1.9715
2461186.3224611 0.21865 0.05871 -0.37391 0.07446 -0.31272 0.07493 -0.11059 0.06634 0.22662 0.05762 -0.59256 0.07032 -0.53137 0.07082 -0.32924 0.06166 0.00797 0.05217 0.06119 0.08434 0.26332 0.07681 0.60053 0.06942 0.20213 0.07727 0.53934 0.06993 0.33721 0.06063 0.0037056 1.9718
2461186.3225952 0.08304 0.05935 -0.36772 0.06944 -0.37572 0.07554 -0.17085 0.06476 0.24541 0.05507 -0.45076 0.06820 -0.45876 0.07440 -0.25390 0.06343 0.16237 0.05349 -0.00800 0.08268 0.19687 0.07295 0.61313 0.06451 0.20487 0.07878 0.62113 0.07103 0.41627 0.05943 0.0037056 1.9720
2461186.3229282 0.14876 0.05439 -0.50161 0.07177 -0.53392 0.07992 -0.36102 0.06993 0.08057 0.05618 -0.65036 0.06688 -0.68268 0.07556 -0.50978 0.06490 -0.06818 0.04978 -0.03232 0.08890 0.14058 0.08004 0.58218 0.06835 0.17290 0.08742 0.61450 0.07686 0.44160 0.06641 0.0037055 1.9728
2461186.3230605 0.02368 0.05695 -0.56260 0.07155 99.99999 9.99999 99.99999 9.99999 -0.00842 0.05417 -0.58628 0.07127 99.99999 9.99999 99.99999 9.99999 -0.03210 0.05379 99.99999 9.99999 99.99999 9.99999 0.55418 0.06907 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0037055 1.9731
2461186.3231933 -0.04715 0.06365 -0.46262 0.07781 99.99999 9.99999 99.99999 9.99999 0.13412 0.05754 -0.41547 0.08064 99.99999 9.99999 99.99999 9.99999 0.18126 0.06131 99.99999 9.99999 99.99999 9.99999 0.59674 0.07591 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0037055 1.9733
2461186.3233270 0.07744 0.05466 -0.45509 0.07447 -0.53798 0.08184 99.99999 9.99999 0.13766 0.05273 -0.53253 0.07101 -0.61542 0.07871 99.99999 9.99999 0.06021 0.04772 -0.08289 0.09355 99.99999 9.99999 0.59274 0.06953 99.99999 9.99999 0.67563 0.07738 99.99999 9.99999 0.0037055 1.9736
2461186.3235240 0.12312 0.05411 -0.49434 0.08021 -0.53329 0.08207 -0.40370 0.07362 0.22922 0.05313 -0.61747 0.07703 -0.65641 0.07897 -0.52682 0.07014 0.10610 0.04820 -0.03895 0.09870 0.09065 0.09179 0.72357 0.07635 0.12959 0.09342 0.76251 0.07831 0.63292 0.06939 0.0037055 1.9741
2461186.3236563 0.09940 0.05522 -0.56389 0.07568 -0.60318 0.08057 -0.53331 0.08205 0.10754 0.05806 -0.66329 0.07307 -0.70258 0.07812 -0.63271 0.07965 0.00815 0.05461 -0.03929 0.09371 0.03058 0.09499 0.67143 0.07524 0.06987 0.09893 0.71073 0.08015 0.64085 0.08164 0.0037055 1.9744
2461186.3237905 0.08427 0.05394 -0.61810 0.08001 -0.55373 0.08336 -0.37240 0.07326 0.11917 0.05333 -0.70237 0.07962 -0.63800 0.08299 -0.45667 0.07283 0.03491 0.05274 0.06437 0.10188 0.24570 0.09379 0.73728 0.07921 0.18133 0.09667 0.67291 0.08259 0.49158 0.07238 0.0037055 1.9747
2461186.3239249 -0.00744 0.04935 -0.62559 0.07616 -0.64994 0.07990 -0.50087 0.07062 0.03233 0.04965 -0.61816 0.07650 -0.64250 0.08023 -0.49343 0.07099 0.03976 0.05018 -0.02434 0.09901 0.12472 0.09168 0.65792 0.07670 0.14906 0.09481 0.68226 0.08042 0.53320 0.07120 0.0037055 1.9750
2461186.3240589 0.02869 0.04906 -0.64570 0.07980 -0.59015 0.07745 -0.41258 0.06971 0.07715 0.05124 -0.67440 0.07866 -0.61884 0.07628 -0.44128 0.06841 0.04845 0.04945 0.05556 0.09889 0.23312 0.09296 0.72285 0.08004 0.17756 0.09095 0.66729 0.07770 0.48973 0.06999 0.0037055 1.9753
2461186.3242590 -0.00883 0.05250 -0.59982 0.07293 -0.63483 0.07730 -0.60275 0.07468 0.04613 0.05013 -0.59098 0.07255 -0.62599 0.07695 -0.59391 0.07431 0.05496 0.04958 -0.03501 0.09210 -0.00293 0.08992 0.64594 0.07086 0.03208 0.09350 0.68095 0.07535 0.64887 0.07266 0.0037054 1.9757
2461186.3243914 -0.05288 0.04847 -0.63316 0.06611 99.99999 9.99999 -0.61451 0.07284 0.03613 0.04767 -0.58028 0.06738 99.99999 9.99999 -0.56164 0.07400 0.08900 0.04942 99.99999 9.99999 0.01865 0.08658 0.66929 0.06681 99.99999 9.99999 99.99999 9.99999 0.65064 0.07348 0.0037054 1.9760
2461186.3245251 0.01189 0.04831 -0.77966 0.07796 -0.58397 0.07032 99.99999 9.99999 0.03842 0.04994 -0.79155 0.07699 -0.59586 0.06924 99.99999 9.99999 0.02653 0.04840 0.19569 0.09240 99.99999 9.99999 0.81807 0.07802 99.99999 9.99999 0.62238 0.07039 99.99999 9.99999 0.0037054 1.9764
2461186.3246589 -0.03870 0.05090 -0.66919 0.06783 -0.69796 0.07321 -0.59125 0.07044 -0.08676 0.05450 -0.63049 0.06739 -0.65926 0.07281 -0.55255 0.07002 -0.04806 0.05395 -0.02877 0.08550 0.07794 0.08314 0.58243 0.07014 0.10671 0.08759 0.61120 0.07536 0.50449 0.07267 0.0037054 1.9767
2461186.3247929 -0.11102 0.05026 -0.86835 0.08322 -0.79775 0.08222 -0.61864 0.06301 -0.20536 0.05138 -0.75733 0.08490 -0.68673 0.08392 -0.50762 0.06521 -0.09434 0.05405 0.07060 0.10697 0.24971 0.09302 0.66299 0.08557 0.17911 0.09212 0.59239 0.08459 0.41328 0.06608 0.0037054 1.9770
2461186.3249922 -0.05536 0.05533 -0.72049 0.07480 -0.65317 0.07448 -0.54300 0.06731 -0.16357 0.05733 -0.66513 0.07784 -0.59781 0.07753 -0.48764 0.07067 -0.10821 0.06123 0.06732 0.09244 0.17749 0.08676 0.55692 0.07927 0.11017 0.08648 0.48960 0.07896 0.37943 0.07224 0.0037054 1.9775
