JDHEL V-C s1 V-K1 s2 C-K1 s3 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461165.3558320 1.51270 0.17025 99.99999 9.99999 99.99999 9.99999 0.0009645 1.5530
2461165.3560961 1.08361 0.13317 0.72702 0.13914 -0.35660 0.07802 0.0009645 1.5514
2461165.3562292 1.16698 0.12197 0.89226 0.12708 -0.27472 0.06536 0.0009645 1.5505
2461165.3563637 1.32773 0.13878 1.09198 0.14186 -0.23575 0.06331 0.0009645 1.5497
2461165.3565929 1.17704 0.12690 0.87372 0.13288 -0.30333 0.06920 0.0009645 1.5483
2461165.3567259 99.99999 9.99999 0.97920 0.13252 99.99999 9.99999 0.0009645 1.5475
2461165.3569930 1.19279 0.13997 0.96616 0.14346 -0.22663 0.06927 0.0009645 1.5459
2461165.3571260 1.52333 0.14723 0.90318 0.15580 -0.62015 0.07124 0.0009645 1.5451
2461165.3573701 99.99999 9.99999 0.88320 0.12399 99.99999 9.99999 0.0009646 1.5436
2461165.3575029 1.27080 0.14522 99.99999 9.99999 99.99999 9.99999 0.0009646 1.5428
2461165.3576365 1.40665 0.14455 0.96335 0.15045 -0.44330 0.06933 0.0009646 1.5419
2461165.3577702 1.08777 0.12233 0.88117 0.12606 -0.20660 0.06422 0.0009646 1.5411
2461165.3579035 1.42782 0.13196 0.99837 0.13709 -0.42945 0.06181 0.0009646 1.5403
2461165.3581401 1.78129 0.17440 1.31163 0.17915 -0.46967 0.06250 0.0009646 1.5389
2461165.3582727 99.99999 9.99999 0.80158 0.13530 99.99999 9.99999 0.0009646 1.5381
2461165.3584055 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0009646 1.5373
2461165.3585388 1.09037 0.12118 99.99999 9.99999 99.99999 9.99999 0.0009646 1.5365
2461165.3586736 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0009646 1.5357
2461165.3589170 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0009646 1.5342
2461165.3590494 99.99999 9.99999 1.02238 0.17117 99.99999 9.99999 0.0009646 1.5334
2461165.3591832 1.17364 0.11773 99.99999 9.99999 99.99999 9.99999 0.0009646 1.5326
2461165.3593175 1.28961 0.12705 99.99999 9.99999 99.99999 9.99999 0.0009646 1.5318
2461165.3594516 1.31813 0.14409 0.93822 0.15071 -0.37991 0.07422 0.0009646 1.5310
2461165.3596836 1.43777 0.14976 1.00240 0.15663 -0.43537 0.06903 0.0009646 1.5296
2461165.3598159 99.99999 9.99999 0.86558 0.12598 99.99999 9.99999 0.0009646 1.5288
2461165.3600834 1.37132 0.14333 0.96868 0.14905 -0.40264 0.06817 0.0009646 1.5273
2461165.3602158 1.30493 0.13218 99.99999 9.99999 99.99999 9.99999 0.0009646 1.5265
2461165.3604450 1.38737 0.13387 1.02851 0.13859 -0.35886 0.06189 0.0009646 1.5251
2461165.3605774 1.31141 0.13831 1.10494 0.14027 -0.20647 0.06207 0.0009646 1.5243
2461165.3607108 1.23996 0.12182 0.82224 0.12768 -0.41771 0.06410 0.0009646 1.5235
2461165.3609769 99.99999 9.99999 0.73771 0.10735 99.99999 9.99999 0.0009646 1.5220
2461165.3611932 1.07981 0.09741 0.80878 0.10172 -0.27103 0.05513 0.0009646 1.5207
2461165.3613254 99.99999 9.99999 99.99999 9.99999 -0.21568 0.05670 0.0009646 1.5199
2461165.3614602 1.31259 0.14468 1.24605 0.14526 -0.06655 0.06038 0.0009646 1.5191
2461165.3615945 1.23543 0.09846 0.85212 0.10326 -0.38331 0.05308 0.0009647 1.5183
2461165.3619506 1.30291 0.12543 0.87985 0.13173 -0.42305 0.06508 0.0009647 1.5162
2461165.3620831 99.99999 9.99999 0.66130 0.12280 99.99999 9.99999 0.0009647 1.5155
2461165.3622154 99.99999 9.99999 99.99999 9.99999 -0.51674 0.06426 0.0009647 1.5147
2461165.3629464 1.16902 0.11135 0.89480 0.11519 -0.27422 0.05793 0.0009647 1.5105
2461165.3630786 99.99999 9.99999 0.84594 0.14156 99.99999 9.99999 0.0009647 1.5097
2461165.3632131 99.99999 9.99999 0.61943 0.12017 99.99999 9.99999 0.0009647 1.5089
2461165.3637151 1.13160 0.12089 99.99999 9.99999 99.99999 9.99999 0.0009647 1.5060
2461165.3638476 1.10879 0.11102 0.74307 0.11736 -0.36572 0.06531 0.0009647 1.5053
2461165.3639820 99.99999 9.99999 0.70186 0.10141 99.99999 9.99999 0.0009647 1.5045
2461165.3642095 99.99999 9.99999 0.75787 0.10044 99.99999 9.99999 0.0009647 1.5032
2461165.3644749 1.12182 0.09301 0.75971 0.09773 -0.36211 0.05465 0.0009647 1.5017
2461165.3646093 1.15631 0.10924 0.83316 0.11291 -0.32315 0.05852 0.0009647 1.5009
2461165.3647429 99.99999 9.99999 99.99999 9.99999 -0.38917 0.06743 0.0009647 1.5001
2461165.3649798 99.99999 9.99999 0.76624 0.11984 99.99999 9.99999 0.0009647 1.4988
2461165.3652458 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0009647 1.4973
2461165.3657490 1.09611 0.09683 0.88559 0.09925 -0.21052 0.05045 0.0009648 1.4944
2461165.3658815 1.32969 0.11264 1.05465 0.11598 -0.27505 0.05174 0.0009648 1.4937
2461165.3660168 1.24031 0.11545 0.90488 0.12006 -0.33543 0.05981 0.0009648 1.4929
2461165.3661514 99.99999 9.99999 99.99999 9.99999 -0.25701 0.05621 0.0009648 1.4921
2461165.3665022 1.18947 0.10206 0.89289 0.10615 -0.29658 0.05362 0.0009648 1.4902
2461165.3666348 1.18869 0.09876 0.71558 0.10472 -0.47310 0.05688 0.0009648 1.4894
