JDHEL V-C s1 V-K1 s2 C-K1 s3 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461149.3553328 1.51342 0.16922 1.36071 0.17030 -0.15270 0.06246 0.0005570 1.8808
2461149.3554650 1.65107 0.18754 1.19268 0.19270 -0.45838 0.07051 0.0005570 1.8796
2461149.3555970 99.99999 9.99999 1.19153 0.14264 99.99999 9.99999 0.0005570 1.8785
2461149.3557299 1.68283 0.20252 1.29398 0.20674 -0.38885 0.07016 0.0005570 1.8773
2461149.3558642 1.68745 0.16821 1.22857 0.17237 -0.45888 0.06097 0.0005570 1.8761
2461149.3560902 99.99999 9.99999 99.99999 9.99999 -0.40607 0.06396 0.0005570 1.8740
2461149.3562224 1.68143 0.21455 1.33988 0.21807 -0.34155 0.07148 0.0005570 1.8728
2461149.3563566 1.47476 0.14391 1.13674 0.14804 -0.33802 0.06264 0.0005570 1.8716
2461149.3564905 1.56918 0.15671 1.19156 0.16075 -0.37762 0.06220 0.0005570 1.8705
2461149.3566241 1.67494 0.16246 1.32533 0.16546 -0.34961 0.05674 0.0005570 1.8693
2461149.3571401 1.66031 0.20050 1.47214 0.20280 -0.18817 0.06484 0.0005570 1.8647
2461149.3574056 99.99999 9.99999 99.99999 9.99999 -0.31133 0.06605 0.0005570 1.8623
2461149.3575379 99.99999 9.99999 99.99999 9.99999 -0.27874 0.05486 0.0005570 1.8611
2461149.3576722 1.59200 0.18460 1.22319 0.18862 -0.36880 0.06813 0.0005570 1.8600
2461149.3578990 1.80954 0.20367 1.40667 0.20746 -0.40287 0.06689 0.0005570 1.8580
2461149.3581656 1.40767 0.18714 1.38457 0.18673 -0.02310 0.07180 0.0005570 1.8556
2461149.3582980 1.90914 0.22369 1.63994 0.22575 -0.26919 0.06192 0.0005570 1.8544
2461149.3584310 1.76355 0.20993 1.46956 0.21299 -0.29399 0.06792 0.0005570 1.8533
2461149.3586773 1.66586 0.18208 1.26121 0.18640 -0.40466 0.06869 0.0005570 1.8511
2461149.3588098 1.66994 0.19038 1.40403 0.19309 -0.26591 0.06665 0.0005570 1.8500
2461149.3589440 2.14924 0.23829 1.57886 0.24236 -0.57038 0.06293 0.0005571 1.8488
2461149.3590774 1.33498 0.16893 99.99999 9.99999 99.99999 9.99999 0.0005571 1.8476
2461149.3592105 1.40278 0.14898 1.13278 0.15150 -0.27000 0.06447 0.0005571 1.8465
2461149.3594455 1.62772 0.16601 1.27228 0.16884 -0.35544 0.05881 0.0005571 1.8444
2461149.3595781 1.41211 0.14418 1.13733 0.14750 -0.27478 0.06054 0.0005571 1.8433
2461149.3597120 2.05232 0.26450 1.60864 0.26835 -0.44368 0.07174 0.0005571 1.8421
2461149.3598462 1.64427 0.18211 1.26545 0.18634 -0.37882 0.06940 0.0005571 1.8409
2461149.3599804 1.33656 0.15035 1.08710 0.15361 -0.24946 0.06654 0.0005571 1.8398
2461149.3602309 1.69708 0.17548 1.23980 0.18055 -0.45727 0.06967 0.0005571 1.8376
2461149.3603632 1.72337 0.16848 1.38037 0.17158 -0.34300 0.05839 0.0005571 1.8365
2461149.3604964 1.64188 0.17277 1.27085 0.17648 -0.37103 0.06250 0.0005571 1.8353
2461149.3606299 1.58230 0.16500 1.17553 0.16987 -0.40677 0.06557 0.0005571 1.8342
2461149.3607629 1.90968 0.18836 1.46675 0.19185 -0.44294 0.05918 0.0005571 1.8330
2461149.3609983 2.00819 0.22732 1.67037 0.22944 -0.33782 0.05892 0.0005571 1.8310
2461149.3611309 1.65658 0.18126 1.42255 0.18337 -0.23402 0.06122 0.0005571 1.8298
2461149.3612657 1.26074 0.12895 99.99999 9.99999 99.99999 9.99999 0.0005571 1.8287
2461149.3613988 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0005571 1.8276
2461149.3615320 1.51074 0.16360 1.14947 0.16738 -0.36127 0.06680 0.0005571 1.8264
2461149.3617864 1.80616 0.19933 1.30872 0.20498 -0.49744 0.07190 0.0005571 1.8242
2461149.3619185 1.62262 0.18938 99.99999 9.99999 99.99999 9.99999 0.0005571 1.8231
2461149.3620519 1.65755 0.18299 1.46712 0.18456 -0.19043 0.06050 0.0005571 1.8220
2461149.3621849 1.45086 0.18175 1.26276 0.18342 -0.18810 0.06865 0.0005571 1.8208
2461149.3623196 1.76722 0.19609 1.50762 0.19830 -0.25960 0.06079 0.0005571 1.8197
2461149.3625770 1.60024 0.17463 1.26783 0.17806 -0.33242 0.06238 0.0005572 1.8175
2461149.3627092 2.26406 0.25930 1.84298 0.26178 -0.42108 0.05797 0.0005572 1.8164
2461149.3628425 1.60668 0.16310 1.18198 0.16745 -0.42470 0.06200 0.0005572 1.8153
2461149.3629758 2.33570 0.30822 2.01211 0.30992 -0.32359 0.05983 0.0005572 1.8141
2461149.3631092 1.87522 0.18984 1.43703 0.19286 -0.43819 0.05829 0.0005572 1.8130
2461149.3633671 1.74672 0.19323 1.56808 0.19464 -0.17864 0.05751 0.0005572 1.8109
2461149.3634994 2.03882 0.22465 1.71116 0.22704 -0.32766 0.05795 0.0005572 1.8097
2461149.3636326 1.55289 0.15973 1.27447 0.16212 -0.27842 0.05972 0.0005572 1.8086
2461149.3637660 2.28169 0.28134 1.84976 0.28377 -0.43192 0.06123 0.0005572 1.8075
2461149.3638998 1.61089 0.16014 1.18541 0.16437 -0.42549 0.06211 0.0005572 1.8064
2461149.3641398 1.76826 0.16616 1.43286 0.16827 -0.33540 0.05181 0.0005572 1.8044
2461149.3642720 1.98589 0.21770 1.50870 0.22175 -0.47719 0.06567 0.0005572 1.8033
2461149.3644062 1.50234 0.14584 1.21355 0.14879 -0.28879 0.05739 0.0005572 1.8021
2461149.3645395 1.60294 0.16532 1.19271 0.17009 -0.41023 0.06566 0.0005572 1.8010
2461149.3646738 1.53040 0.14326 1.27067 0.14584 -0.25973 0.05451 0.0005572 1.7999
2461149.3649152 1.76996 0.16577 1.30167 0.17016 -0.46829 0.05923 0.0005572 1.7979
2461149.3650481 1.40783 0.14824 1.00566 0.15305 -0.40217 0.06677 0.0005572 1.7968
2461149.3651824 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0005572 1.7957
2461149.3653160 1.39633 0.14700 1.10192 0.15136 -0.29441 0.06570 0.0005572 1.7946
2461149.3654504 99.99999 9.99999 1.46931 0.22210 99.99999 9.99999 0.0005572 1.7935
2461149.3657128 1.61110 0.16230 1.16150 0.16645 -0.44960 0.06065 0.0005572 1.7913
2461149.3658452 1.90417 0.21290 1.63001 0.21477 -0.27416 0.06063 0.0005572 1.7902
2461149.3659783 2.01830 0.22405 1.70705 0.22578 -0.31125 0.05506 0.0005572 1.7891
2461149.3662444 1.61658 0.16670 1.33298 0.16990 -0.28360 0.06139 0.0005573 1.7869
2461149.3663767 1.83728 0.20598 1.65367 0.20679 -0.18360 0.05769 0.0005573 1.7859
2461149.3666013 1.55830 0.16179 1.32578 0.16341 -0.23252 0.05837 0.0005573 1.7840
2461149.3667337 1.84637 0.19118 1.42741 0.19405 -0.41896 0.05780 0.0005573 1.7829
2461149.3668675 99.99999 9.99999 1.28588 0.17839 99.99999 9.99999 0.0005573 1.7818
2461149.3670004 1.36684 0.15463 1.09401 0.15930 -0.27283 0.07018 0.0005573 1.7808
