JDHEL V-C s1 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461219.3374152 -1.74038 0.09859 -0.0003589 1.0252
2461219.3374915 -1.69301 0.10175 -0.0003589 1.0252
2461219.3375681 99.99999 9.99999 -0.0003589 1.0253
2461219.3376447 -1.81915 0.11045 -0.0003589 1.0253
2461219.3377227 -1.91563 0.11914 -0.0003589 1.0253
2461219.3378653 99.99999 9.99999 -0.0003589 1.0254
2461219.3379444 -1.51083 0.09534 -0.0003589 1.0254
2461219.3380994 -1.72252 0.09945 -0.0003589 1.0254
2461219.3381765 99.99999 9.99999 -0.0003589 1.0255
2461219.3383479 -1.41601 0.09083 -0.0003589 1.0255
2461219.3384266 -1.47645 0.10005 -0.0003589 1.0255
2461219.3385037 -1.49507 0.10756 -0.0003589 1.0256
2461219.3385814 -1.52452 0.10131 -0.0003589 1.0256
2461219.3386586 99.99999 9.99999 -0.0003589 1.0256
2461219.3388300 -1.47296 0.09183 -0.0003590 1.0257
2461219.3389078 -1.44814 0.08880 -0.0003590 1.0257
2461219.3389844 -1.45637 0.09385 -0.0003590 1.0257
2461219.3393157 99.99999 9.99999 -0.0003590 1.0258
2461219.3393931 -1.71402 0.11955 -0.0003590 1.0259
2461219.3394701 99.99999 9.99999 -0.0003590 1.0259
2461219.3395474 -1.57829 0.10152 -0.0003590 1.0259
2461219.3396245 -1.65779 0.10464 -0.0003590 1.0260
2461219.3397924 -1.89033 0.09678 -0.0003590 1.0260
2461219.3398701 -1.71124 0.08279 -0.0003590 1.0260
2461219.3399469 -1.71056 0.08898 -0.0003590 1.0261
2461219.3400237 99.99999 9.99999 -0.0003590 1.0261
2461219.3401017 99.99999 9.99999 -0.0003590 1.0261
2461219.3402621 -1.64169 0.08797 -0.0003590 1.0262
2461219.3403402 99.99999 9.99999 -0.0003590 1.0262
2461219.3404187 99.99999 9.99999 -0.0003590 1.0262
2461219.3404958 -1.47523 0.08330 -0.0003590 1.0263
2461219.3405738 -1.45500 0.08754 -0.0003590 1.0263
2461219.3408113 99.99999 9.99999 -0.0003590 1.0264
2461219.3408891 -1.66583 0.08363 -0.0003590 1.0264
2461219.3409674 -1.66853 0.07837 -0.0003590 1.0264
2461219.3410452 -1.53365 0.08280 -0.0003590 1.0265
2461219.3412141 -1.77614 0.08871 -0.0003590 1.0265
2461219.3412917 99.99999 9.99999 -0.0003590 1.0266
2461219.3413685 -1.69173 0.09240 -0.0003590 1.0266
2461219.3414468 99.99999 9.99999 -0.0003590 1.0266
2461219.3416989 -1.97754 0.09893 -0.0003590 1.0267
2461219.3417770 99.99999 9.99999 -0.0003590 1.0267
2461219.3420092 -1.78770 0.07805 -0.0003591 1.0268
2461219.3421805 -1.57701 0.07028 -0.0003591 1.0269
2461219.3422580 -1.85348 0.08407 -0.0003591 1.0269
2461219.3424135 -1.71426 0.07701 -0.0003591 1.0270
2461219.3426627 -1.73881 0.06839 -0.0003591 1.0271
2461219.3427406 -1.56765 0.07657 -0.0003591 1.0271
2461219.3428171 99.99999 9.99999 -0.0003591 1.0271
2461219.3428948 -1.81265 0.07389 -0.0003591 1.0272
2461219.3429720 -1.71382 0.07365 -0.0003591 1.0272
2461219.3431449 -1.61680 0.06284 -0.0003591 1.0273
2461219.3432222 -1.52610 0.07157 -0.0003591 1.0273
2461219.3432995 -1.59522 0.07606 -0.0003591 1.0273
2461219.3433776 -1.57189 0.07632 -0.0003591 1.0274
2461219.3434553 99.99999 9.99999 -0.0003591 1.0274
2461219.3436279 -1.69407 0.06672 -0.0003591 1.0275
2461219.3437057 99.99999 9.99999 -0.0003591 1.0275
2461219.3437827 -1.64026 0.06904 -0.0003591 1.0275
2461219.3438606 -1.99077 0.07467 -0.0003591 1.0276
2461219.3439376 -1.81267 0.07320 -0.0003591 1.0276
2461219.3441081 -1.68072 0.07179 -0.0003591 1.0277
2461219.3441851 -1.68626 0.07282 -0.0003591 1.0277
2461219.3442622 -1.62277 0.06916 -0.0003591 1.0277
2461219.3443392 -1.56798 0.07015 -0.0003591 1.0277
2461219.3444168 -1.85994 0.07793 -0.0003591 1.0278
2461219.3445779 -1.85224 0.06834 -0.0003591 1.0278
2461219.3446560 -1.70250 0.07151 -0.0003591 1.0279
2461219.3447348 -1.89863 0.06982 -0.0003591 1.0279
2461219.3448114 -1.77278 0.08507 -0.0003591 1.0279
2461219.3448887 99.99999 9.99999 -0.0003591 1.0280
2461219.3450542 -1.94850 0.07804 -0.0003591 1.0280
2461219.3451321 -1.84270 0.07220 -0.0003591 1.0281
2461219.3452091 99.99999 9.99999 -0.0003591 1.0281
2461219.3452874 -1.79403 0.06805 -0.0003591 1.0281
2461219.3453648 -1.67201 0.07081 -0.0003592 1.0282
2461219.3455329 99.99999 9.99999 -0.0003592 1.0282
2461219.3456113 -1.47560 0.06353 -0.0003592 1.0283
2461219.3456890 -1.73876 0.06992 -0.0003592 1.0283
2461219.3458440 -1.37144 0.06017 -0.0003592 1.0284
2461219.3460068 -1.75746 0.07011 -0.0003592 1.0284
2461219.3460831 99.99999 9.99999 -0.0003592 1.0285
2461219.3461605 -1.86674 0.06483 -0.0003592 1.0285
2461219.3462380 99.99999 9.99999 -0.0003592 1.0285
2461219.3464809 -1.92859 0.06654 -0.0003592 1.0287
2461219.3465596 99.99999 9.99999 -0.0003592 1.0287
2461219.3466360 99.99999 9.99999 -0.0003592 1.0287
2461219.3467145 -1.57564 0.06532 -0.0003592 1.0288
2461219.3467914 -1.50719 0.05186 -0.0003592 1.0288
2461219.3470313 -1.80754 0.06225 -0.0003592 1.0289
2461219.3471078 -2.22173 0.07432 -0.0003592 1.0289
2461219.3471853 -2.12649 0.06982 -0.0003592 1.0290
2461219.3472626 99.99999 9.99999 -0.0003592 1.0290
2461219.3474367 99.99999 9.99999 -0.0003592 1.0291
2461219.3475154 99.99999 9.99999 -0.0003592 1.0291
2461219.3475922 -1.74442 0.05294 -0.0003592 1.0291
2461219.3476703 99.99999 9.99999 -0.0003592 1.0292
2461219.3477470 99.99999 9.99999 -0.0003592 1.0292
2461219.3479183 -1.91832 0.06030 -0.0003592 1.0293
2461219.3479965 99.99999 9.99999 -0.0003592 1.0293
2461219.3481520 99.99999 9.99999 -0.0003592 1.0294
2461219.3484035 -1.62517 0.04087 -0.0003592 1.0295
2461219.3484809 -1.80072 0.04309 -0.0003592 1.0296
2461219.3485574 -1.83539 0.04752 -0.0003592 1.0296
2461219.3486352 -1.86707 0.04773 -0.0003593 1.0296
2461219.3487125 -1.82618 0.05876 -0.0003593 1.0297
2461219.3488718 -1.75327 0.04910 -0.0003593 1.0297
2461219.3489500 -1.62556 0.04663 -0.0003593 1.0298
2461219.3490284 99.99999 9.99999 -0.0003593 1.0298
2461219.3491051 -1.79680 0.05366 -0.0003593 1.0298
2461219.3491832 -1.52388 0.04629 -0.0003593 1.0299
2461219.3493426 -1.66859 0.04453 -0.0003593 1.0300
2461219.3494192 99.99999 9.99999 -0.0003593 1.0300
2461219.3494959 -1.56003 0.03833 -0.0003593 1.0300
2461219.3495733 -1.72359 0.04710 -0.0003593 1.0301
2461219.3496514 -1.73484 0.04735 -0.0003593 1.0301
2461219.3498225 -1.73055 0.04129 -0.0003593 1.0302
2461219.3499001 -1.78376 0.04963 -0.0003593 1.0302
2461219.3499766 99.99999 9.99999 -0.0003593 1.0303
2461219.3500548 -1.62174 0.04335 -0.0003593 1.0303
2461219.3501321 99.99999 9.99999 -0.0003593 1.0303
2461219.3503074 99.99999 9.99999 -0.0003593 1.0304
2461219.3503854 -2.05491 0.05178 -0.0003593 1.0305
2461219.3504622 -1.75869 0.04811 -0.0003593 1.0305
2461219.3505409 -1.82599 0.05351 -0.0003593 1.0305
2461219.3506177 99.99999 9.99999 -0.0003593 1.0306
2461219.3507884 -1.68484 0.04372 -0.0003593 1.0307
2461219.3509435 99.99999 9.99999 -0.0003593 1.0307
2461219.3510213 99.99999 9.99999 -0.0003593 1.0308
2461219.3510996 -1.90377 0.04451 -0.0003593 1.0308
2461219.3512635 -1.66022 0.04231 -0.0003593 1.0309
2461219.3513408 99.99999 9.99999 -0.0003593 1.0309
2461219.3514185 -2.06728 0.05107 -0.0003593 1.0310
2461219.3515729 -1.83404 0.03967 -0.0003593 1.0310
2461219.3517384 -1.92502 0.04457 -0.0003593 1.0311
2461219.3518165 99.99999 9.99999 -0.0003593 1.0312
2461219.3520491 -1.59847 0.04029 -0.0003594 1.0313
2461219.3522211 -1.90078 0.04387 -0.0003594 1.0314
2461219.3522999 99.99999 9.99999 -0.0003594 1.0314
2461219.3523780 99.99999 9.99999 -0.0003594 1.0315
2461219.3524553 -1.68186 0.04380 -0.0003594 1.0315
2461219.3525334 -1.98580 0.04122 -0.0003594 1.0315
2461219.3526993 -1.72399 0.03912 -0.0003594 1.0316
2461219.3527766 99.99999 9.99999 -0.0003594 1.0317
2461219.3528536 -2.08487 0.04030 -0.0003594 1.0317
2461219.3529326 -1.85062 0.03865 -0.0003594 1.0317
2461219.3530094 -1.87564 0.03713 -0.0003594 1.0318
2461219.3531818 99.99999 9.99999 -0.0003594 1.0319
2461219.3532601 -1.58971 0.03221 -0.0003594 1.0319
2461219.3533374 99.99999 9.99999 -0.0003594 1.0320
2461219.3534154 -1.69942 0.03673 -0.0003594 1.0320
2461219.3534924 99.99999 9.99999 -0.0003594 1.0320
