JDHEL V-C s1 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461219.3374152 99.99999 9.99999 -0.0003589 1.0252
2461219.3374915 -2.12177 0.10038 -0.0003589 1.0252
2461219.3375681 -2.16614 0.10619 -0.0003589 1.0253
2461219.3376447 -2.38279 0.10932 -0.0003589 1.0253
2461219.3377227 -2.39049 0.11815 -0.0003589 1.0253
2461219.3378653 -2.32970 0.10835 -0.0003589 1.0254
2461219.3379444 -2.17188 0.09315 -0.0003589 1.0254
2461219.3380994 -2.21507 0.09837 -0.0003589 1.0254
2461219.3383479 -2.06528 0.08877 -0.0003589 1.0255
2461219.3384266 -2.19333 0.09788 -0.0003589 1.0255
2461219.3385037 -2.24164 0.10490 -0.0003589 1.0256
2461219.3385814 -2.20110 0.09939 -0.0003589 1.0256
2461219.3386586 99.99999 9.99999 -0.0003589 1.0256
2461219.3388300 -2.21463 0.08952 -0.0003590 1.0257
2461219.3389078 -2.32112 0.08634 -0.0003590 1.0257
2461219.3389844 -2.21508 0.09168 -0.0003590 1.0257
2461219.3391404 -2.29716 0.09049 -0.0003590 1.0258
2461219.3393157 -2.38594 0.09142 -0.0003590 1.0258
2461219.3393931 -2.54239 0.11761 -0.0003590 1.0259
2461219.3394701 99.99999 9.99999 -0.0003590 1.0259
2461219.3395474 -2.40066 0.09945 -0.0003590 1.0259
2461219.3396245 -2.46375 0.10277 -0.0003590 1.0260
2461219.3397924 -2.41397 0.09586 -0.0003590 1.0260
2461219.3398701 99.99999 9.99999 -0.0003590 1.0260
2461219.3399469 -2.29038 0.08786 -0.0003590 1.0261
2461219.3400237 99.99999 9.99999 -0.0003590 1.0261
2461219.3401017 99.99999 9.99999 -0.0003590 1.0261
2461219.3402621 -2.42175 0.08633 -0.0003590 1.0262
2461219.3403402 99.99999 9.99999 -0.0003590 1.0262
2461219.3404187 -2.43033 0.08553 -0.0003590 1.0262
2461219.3404958 99.99999 9.99999 -0.0003590 1.0263
2461219.3405738 -2.31222 0.08533 -0.0003590 1.0263
2461219.3408113 99.99999 9.99999 -0.0003590 1.0264
2461219.3408891 -2.32582 0.08215 -0.0003590 1.0264
2461219.3409674 -2.23524 0.07726 -0.0003590 1.0264
2461219.3410452 -2.34783 0.08107 -0.0003590 1.0265
2461219.3412141 -2.31265 0.08779 -0.0003590 1.0265
2461219.3412917 99.99999 9.99999 -0.0003590 1.0266
2461219.3413685 -2.37747 0.09108 -0.0003590 1.0266
2461219.3414468 -2.57269 0.09192 -0.0003590 1.0266
2461219.3416989 -2.57904 0.09813 -0.0003590 1.0267
2461219.3417770 99.99999 9.99999 -0.0003590 1.0267
2461219.3420092 -2.34861 0.07705 -0.0003591 1.0268
2461219.3421805 -2.21175 0.06903 -0.0003591 1.0269
2461219.3422580 99.99999 9.99999 -0.0003591 1.0269
2461219.3424135 -2.37403 0.07594 -0.0003591 1.0270
2461219.3426627 -2.28258 0.06764 -0.0003591 1.0271
2461219.3427406 -2.44905 0.07496 -0.0003591 1.0271
2461219.3428171 99.99999 9.99999 -0.0003591 1.0271
2461219.3428948 -2.50754 0.07298 -0.0003591 1.0272
2461219.3429720 -2.46518 0.07247 -0.0003591 1.0272
2461219.3431449 -2.34559 0.06174 -0.0003591 1.0273
2461219.3432222 -2.33989 0.06999 -0.0003591 1.0273
2461219.3432995 -2.47796 0.07444 -0.0003591 1.0273
2461219.3433776 -2.42396 0.07475 -0.0003591 1.0274
2461219.3434553 -2.41135 0.07233 -0.0003591 1.0274
2461219.3436279 -2.21244 0.06584 -0.0003591 1.0275
2461219.3437057 99.99999 9.99999 -0.0003591 1.0275
2461219.3437827 -2.35740 0.06791 -0.0003591 1.0275
2461219.3438606 -2.51775 0.07410 -0.0003591 1.0276
2461219.3439376 -2.46026 0.07232 -0.0003591 1.0276
2461219.3441081 99.99999 9.99999 -0.0003591 1.0277
2461219.3441851 -2.51284 0.07157 -0.0003591 1.0277
2461219.3442622 -2.44311 0.06795 -0.0003591 1.0277
2461219.3443392 -2.46136 0.06869 -0.0003591 1.0277
2461219.3444168 -2.40240 0.07711 -0.0003591 1.0278
2461219.3445779 99.99999 9.99999 -0.0003591 1.0278
2461219.3446560 99.99999 9.99999 -0.0003591 1.0279
2461219.3447348 99.99999 9.99999 -0.0003591 1.0279
2461219.3448114 99.99999 9.99999 -0.0003591 1.0279
2461219.3448887 99.99999 9.99999 -0.0003591 1.0280
2461219.3450542 -2.64190 0.07736 -0.0003591 1.0280
2461219.3451321 -2.58931 0.07130 -0.0003591 1.0281
2461219.3452091 99.99999 9.99999 -0.0003591 1.0281
2461219.3452874 -2.57790 0.06711 -0.0003591 1.0281
2461219.3453648 -2.43448 0.06971 -0.0003592 1.0282
2461219.3455329 99.99999 9.99999 -0.0003592 1.0282
2461219.3456113 -2.39640 0.06166 -0.0003592 1.0283
2461219.3456890 99.99999 9.99999 -0.0003592 1.0283
2461219.3458440 99.99999 9.99999 -0.0003592 1.0284
2461219.3460068 -2.55264 0.06907 -0.0003592 1.0284
2461219.3460831 -2.53073 0.06765 -0.0003592 1.0285
2461219.3461605 -2.58242 0.06407 -0.0003592 1.0285
2461219.3462380 99.99999 9.99999 -0.0003592 1.0285
2461219.3464809 99.99999 9.99999 -0.0003592 1.0287
2461219.3465596 99.99999 9.99999 -0.0003592 1.0287
2461219.3466360 99.99999 9.99999 -0.0003592 1.0287
2461219.3467145 -2.56046 0.06386 -0.0003592 1.0288
2461219.3467914 -2.39598 0.05056 -0.0003592 1.0288
2461219.3470313 -2.49054 0.06134 -0.0003592 1.0289
2461219.3471078 99.99999 9.99999 -0.0003592 1.0289
2461219.3471853 -2.68906 0.06936 -0.0003592 1.0290
2461219.3472626 -2.53904 0.05973 -0.0003592 1.0290
2461219.3474367 99.99999 9.99999 -0.0003592 1.0291
2461219.3475154 -2.63014 0.05466 -0.0003592 1.0291
