JDHEL V-C s1 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461218.3730557 -2.29199 0.02169 -0.0003261 1.0425
2461218.3731327 -2.22651 0.02117 -0.0003261 1.0426
2461218.3732104 -2.08146 0.02077 -0.0003261 1.0426
2461218.3733728 -2.39561 0.02239 -0.0003261 1.0427
2461218.3734498 99.99999 9.99999 -0.0003261 1.0428
2461218.3735269 -2.25708 0.01964 -0.0003262 1.0429
2461218.3736044 -2.18857 0.01959 -0.0003262 1.0429
2461218.3736816 -2.13077 0.01890 -0.0003262 1.0430
2461218.3738484 99.99999 9.99999 -0.0003262 1.0431
2461218.3739260 -1.99696 0.02064 -0.0003262 1.0432
2461218.3740031 -2.10069 0.02083 -0.0003262 1.0432
2461218.3740803 -1.86915 0.01731 -0.0003262 1.0433
2461218.3741593 -2.01370 0.01819 -0.0003262 1.0433
2461218.3743168 -1.99762 0.01903 -0.0003262 1.0434
2461218.3743946 99.99999 9.99999 -0.0003262 1.0435
2461218.3744729 99.99999 9.99999 -0.0003262 1.0436
2461218.3745494 -2.14196 0.01789 -0.0003262 1.0436
2461218.3746277 99.99999 9.99999 -0.0003262 1.0437
2461218.3747858 -2.14168 0.01846 -0.0003262 1.0438
2461218.3748629 -2.05265 0.01919 -0.0003262 1.0439
2461218.3749410 99.99999 9.99999 -0.0003262 1.0439
2461218.3750181 -2.17723 0.01936 -0.0003262 1.0440
2461218.3752547 99.99999 9.99999 -0.0003262 1.0442
2461218.3754265 -2.02596 0.01919 -0.0003262 1.0443
2461218.3755043 99.99999 9.99999 -0.0003262 1.0444
2461218.3755825 99.99999 9.99999 -0.0003262 1.0444
2461218.3756594 -1.99570 0.01800 -0.0003262 1.0445
2461218.3759095 -2.03808 0.01710 -0.0003262 1.0447
2461218.3759865 99.99999 9.99999 -0.0003262 1.0447
2461218.3760632 -2.14438 0.01865 -0.0003262 1.0448
2461218.3761403 99.99999 9.99999 -0.0003262 1.0449
2461218.3763837 99.99999 9.99999 -0.0003262 1.0450
2461218.3765385 -2.16004 0.01776 -0.0003262 1.0452
2461218.3766157 -2.31859 0.01996 -0.0003262 1.0452
2461218.3767836 99.99999 9.99999 -0.0003263 1.0454
2461218.3768606 99.99999 9.99999 -0.0003263 1.0454
2461218.3769384 99.99999 9.99999 -0.0003263 1.0455
2461218.3770156 99.99999 9.99999 -0.0003263 1.0455
2461218.3770955 -2.10581 0.01725 -0.0003263 1.0456
2461218.3772516 -2.10815 0.01680 -0.0003263 1.0457
2461218.3773289 -2.04138 0.01705 -0.0003263 1.0458
2461218.3774060 -2.00448 0.01859 -0.0003263 1.0459
2461218.3774830 99.99999 9.99999 -0.0003263 1.0459
2461218.3775605 99.99999 9.99999 -0.0003263 1.0460
2461218.3777251 -2.02353 0.01557 -0.0003263 1.0461
2461218.3778027 99.99999 9.99999 -0.0003263 1.0462
2461218.3779576 -2.00971 0.01796 -0.0003263 1.0463
2461218.3780350 -2.23652 0.01892 -0.0003263 1.0464
2461218.3782019 -2.52284 0.01776 -0.0003263 1.0465
2461218.3782787 99.99999 9.99999 -0.0003263 1.0466
2461218.3783563 99.99999 9.99999 -0.0003263 1.0466
2461218.3784333 -2.17421 0.01717 -0.0003263 1.0467
2461218.3785116 99.99999 9.99999 -0.0003263 1.0468
2461218.3786714 -2.15744 0.01706 -0.0003263 1.0469
2461218.3787501 -2.14590 0.01779 -0.0003263 1.0469
2461218.3788278 99.99999 9.99999 -0.0003263 1.0470
2461218.3789050 99.99999 9.99999 -0.0003263 1.0471
2461218.3789832 -2.16853 0.02038 -0.0003263 1.0471
2461218.3791448 99.99999 9.99999 -0.0003263 1.0473
2461218.3792218 99.99999 9.99999 -0.0003263 1.0473
2461218.3793772 -2.03408 0.01686 -0.0003263 1.0475
2461218.3794541 99.99999 9.99999 -0.0003263 1.0475
2461218.3796215 99.99999 9.99999 -0.0003263 1.0477
2461218.3796982 -2.03274 0.01763 -0.0003263 1.0477
2461218.3797761 -2.30786 0.02019 -0.0003263 1.0478
2461218.3799314 99.99999 9.99999 -0.0003263 1.0479
2461218.3800941 99.99999 9.99999 -0.0003264 1.0481
2461218.3801725 -2.27942 0.01914 -0.0003264 1.0481
2461218.3802504 -2.15053 0.01774 -0.0003264 1.0482
2461218.3803275 -2.29632 0.01993 -0.0003264 1.0483
2461218.3804055 -2.30442 0.02093 -0.0003264 1.0483
2461218.3805661 99.99999 9.99999 -0.0003264 1.0485
2461218.3806429 99.99999 9.99999 -0.0003264 1.0485
2461218.3807204 -2.16998 0.01791 -0.0003264 1.0486
2461218.3807983 99.99999 9.99999 -0.0003264 1.0486
2461218.3808754 -2.23997 0.01800 -0.0003264 1.0487
2461218.3810440 -2.03750 0.01855 -0.0003264 1.0489
2461218.3811220 -2.29741 0.01979 -0.0003264 1.0489
2461218.3811988 -2.11614 0.01797 -0.0003264 1.0490
2461218.3812765 -2.26231 0.02023 -0.0003264 1.0491
2461218.3813548 99.99999 9.99999 -0.0003264 1.0491
2461218.3815131 -2.33688 0.01868 -0.0003264 1.0493
2461218.3816675 99.99999 9.99999 -0.0003264 1.0494
2461218.3817446 99.99999 9.99999 -0.0003264 1.0495
2461218.3818219 99.99999 9.99999 -0.0003264 1.0495
2461218.3819865 99.99999 9.99999 -0.0003264 1.0497
2461218.3820628 -2.06596 0.01910 -0.0003264 1.0497
2461218.3821402 -2.18497 0.01678 -0.0003264 1.0498
2461218.3822178 -1.99871 0.01709 -0.0003264 1.0499
2461218.3822951 99.99999 9.99999 -0.0003264 1.0499
2461218.3824641 -2.22375 0.01703 -0.0003264 1.0501
2461218.3826188 -2.04464 0.01677 -0.0003264 1.0502
2461218.3826962 -2.36789 0.02014 -0.0003264 1.0503
2461218.3827743 99.99999 9.99999 -0.0003264 1.0503
2461218.3829373 99.99999 9.99999 -0.0003264 1.0505
2461218.3830157 99.99999 9.99999 -0.0003264 1.0506
2461218.3830927 99.99999 9.99999 -0.0003264 1.0506
2461218.3831700 -2.07710 0.01644 -0.0003264 1.0507
2461218.3832474 -1.82707 0.01601 -0.0003264 1.0508
2461218.3834876 99.99999 9.99999 -0.0003265 1.0510
2461218.3835653 -2.09057 0.01723 -0.0003265 1.0510
2461218.3836425 -2.09366 0.01563 -0.0003265 1.0511
2461218.3837202 -2.10034 0.01775 -0.0003265 1.0512
2461218.3839562 -2.16837 0.01827 -0.0003265 1.0514
2461218.3840332 99.99999 9.99999 -0.0003265 1.0515
2461218.3841107 99.99999 9.99999 -0.0003265 1.0515
2461218.3841891 99.99999 9.99999 -0.0003265 1.0516
2461218.3843441 -2.29337 0.01829 -0.0003265 1.0517
2461218.3844215 99.99999 9.99999 -0.0003265 1.0518
2461218.3844989 99.99999 9.99999 -0.0003265 1.0519
2461218.3845758 99.99999 9.99999 -0.0003265 1.0519
2461218.3846534 -2.23433 0.01846 -0.0003265 1.0520
2461218.3848932 99.99999 9.99999 -0.0003265 1.0522
2461218.3849714 -2.17047 0.01716 -0.0003265 1.0523
2461218.3850488 -2.20490 0.01757 -0.0003265 1.0524
2461218.3851274 99.99999 9.99999 -0.0003265 1.0524
2461218.3852862 -1.94864 0.01641 -0.0003265 1.0526
2461218.3855371 -2.18420 0.01763 -0.0003265 1.0528
2461218.3856154 -2.09326 0.01892 -0.0003265 1.0529
2461218.3856933 99.99999 9.99999 -0.0003265 1.0530
2461218.3860191 99.99999 9.99999 -0.0003265 1.0532
2461218.3860954 99.99999 9.99999 -0.0003265 1.0533
2461218.3861728 99.99999 9.99999 -0.0003265 1.0534
2461218.3863374 99.99999 9.99999 -0.0003265 1.0535
2461218.3864158 99.99999 9.99999 -0.0003265 1.0536
2461218.3864941 -2.17069 0.01967 -0.0003265 1.0537
