JDHEL V-C s1 V-K1 s2 C-K1 s3 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461154.4244080 1.10782 0.05578 0.75863 0.05863 -0.34919 0.03218 0.0006938 1.3501
2461154.4246523 99.99999 9.99999 99.99999 9.99999 -0.28562 0.03218 0.0006938 1.3490
2461154.4248963 1.25668 0.06372 0.91870 0.06568 -0.33797 0.03170 0.0006938 1.3479
2461154.4251420 1.27247 0.06821 0.89600 0.07082 -0.37646 0.03493 0.0006938 1.3469
2461154.4253860 1.21584 0.06013 0.94865 0.06196 -0.26719 0.03194 0.0006938 1.3458
2461154.4257125 1.08134 0.05973 0.88571 0.06112 -0.19564 0.03193 0.0006938 1.3444
2461154.4259566 1.07656 0.05364 0.75186 0.05687 -0.32471 0.03271 0.0006938 1.3433
2461154.4262008 99.99999 9.99999 99.99999 9.99999 -0.31075 0.03323 0.0006938 1.3423
2461154.4264450 1.30728 0.06886 0.95218 0.07122 -0.35510 0.03435 0.0006938 1.3412
2461154.4266892 1.27522 0.06673 0.88838 0.06942 -0.38684 0.03374 0.0006938 1.3402
2461154.4270174 1.27798 0.08131 0.94382 0.08382 -0.33416 0.03928 0.0006938 1.3388
2461154.4272622 1.25464 0.06354 0.88525 0.06614 -0.36939 0.03197 0.0006938 1.3377
2461154.4275064 1.08880 0.05741 0.79603 0.06026 -0.29277 0.03306 0.0006939 1.3367
2461154.4277505 1.29573 0.06383 0.95428 0.06616 -0.34146 0.03044 0.0006939 1.3357
2461154.4279948 1.27407 0.06100 0.84062 0.06407 -0.43345 0.03292 0.0006939 1.3346
2461154.4283254 1.20458 0.06031 0.83602 0.06274 -0.36856 0.03178 0.0006939 1.3332
2461154.4285697 1.27794 0.06383 0.84111 0.06699 -0.43683 0.03313 0.0006939 1.3322
2461154.4288140 1.23728 0.06373 0.89961 0.06629 -0.33767 0.03339 0.0006939 1.3312
2461154.4290579 1.44506 0.07489 1.08174 0.07737 -0.36332 0.03293 0.0006939 1.3301
2461154.4293021 1.21967 0.06168 0.85627 0.06413 -0.36340 0.03013 0.0006939 1.3291
2461154.4296297 1.32233 0.06247 0.94643 0.06452 -0.37590 0.02977 0.0006939 1.3277
2461154.4298747 1.39909 0.06971 1.03509 0.07208 -0.36399 0.03184 0.0006939 1.3267
2461154.4301190 1.24769 0.06732 0.95029 0.06920 -0.29740 0.03294 0.0006939 1.3257
2461154.4303629 1.19592 0.05886 0.79578 0.06189 -0.40015 0.03197 0.0006939 1.3247
2461154.4306072 1.34439 0.06736 0.98941 0.06977 -0.35498 0.03176 0.0006939 1.3237
2461154.4309342 1.33642 0.07150 1.01986 0.07357 -0.31657 0.03226 0.0006939 1.3223
2461154.4311789 1.30717 0.06906 0.98760 0.07130 -0.31957 0.03265 0.0006940 1.3213
2461154.4314229 1.30578 0.06577 0.84565 0.06923 -0.46012 0.03347 0.0006940 1.3203
2461154.4316670 1.15639 0.06506 99.99999 9.99999 99.99999 9.99999 0.0006940 1.3193
2461154.4319113 99.99999 9.99999 99.99999 9.99999 -0.37328 0.03088 0.0006940 1.3183
2461154.4322387 1.10822 0.05774 0.83758 0.06001 -0.27063 0.03289 0.0006940 1.3170
2461154.4324831 1.07725 0.05463 0.77509 0.05707 -0.30216 0.03120 0.0006940 1.3160
2461154.4327273 1.29207 0.06143 0.97771 0.06332 -0.31436 0.02991 0.0006940 1.3150
2461154.4329718 1.29766 0.06432 0.93336 0.06679 -0.36430 0.03150 0.0006940 1.3140
2461154.4332164 99.99999 9.99999 99.99999 9.99999 -0.31502 0.03320 0.0006940 1.3130
2461154.4335463 1.35413 0.07833 1.14824 0.07951 -0.20589 0.03172 0.0006940 1.3117
2461154.4337903 1.21262 0.06225 0.79298 0.06546 -0.41964 0.03341 0.0006940 1.3107
2461154.4340346 1.54201 0.08199 1.25711 0.08320 -0.28489 0.03130 0.0006940 1.3097
2461154.4342793 1.43623 0.07417 1.16545 0.07555 -0.27078 0.02961 0.0006940 1.3087
2461154.4345235 1.34473 0.06609 0.97557 0.06809 -0.36916 0.03068 0.0006940 1.3078
2461154.4348492 1.32601 0.07020 0.96819 0.07303 -0.35782 0.03445 0.0006940 1.3065
2461154.4350936 1.31414 0.06652 1.03227 0.06839 -0.28187 0.03096 0.0006941 1.3055
2461154.4353378 1.40760 0.07079 1.07915 0.07259 -0.32845 0.03084 0.0006941 1.3045
2461154.4355818 1.32558 0.06121 0.85538 0.06476 -0.47020 0.03258 0.0006941 1.3035
2461154.4358261 1.41944 0.06929 1.08046 0.07116 -0.33899 0.03038 0.0006941 1.3026
2461154.4361533 1.18346 0.05952 0.88818 0.06158 -0.29527 0.03235 0.0006941 1.3013
2461154.4363977 1.31115 0.06733 1.05998 0.06911 -0.25117 0.03151 0.0006941 1.3003
2461154.4366420 1.32599 0.06458 0.93027 0.06717 -0.39573 0.03151 0.0006941 1.2994
