JDHEL V-C s1 V-K1 s2 C-K1 s3 HELCOR AIRMASS
Aperture: 2, Filter: IRCUT, JD: heliocentric
2461183.3237945 -0.33567 0.09153 0.73543 0.06107 1.07110 0.08115 0.0039222 1.9347
2461183.3241946 -0.33488 0.08491 0.48846 0.06275 0.82334 0.07489 0.0039222 1.9351
2461183.3243933 -0.42805 0.09564 0.73091 0.05648 1.15896 0.08679 0.0039222 1.9353
2461183.3245255 -0.52001 0.12197 0.77720 0.06840 1.29721 0.11150 0.0039221 1.9355
2461183.3246591 -0.24642 0.11007 1.01758 0.07179 1.26400 0.08977 0.0039221 1.9356
2461183.3247889 -0.49472 0.10053 0.67548 0.06406 1.17021 0.08855 0.0039221 1.9358
2461183.3249229 -0.21847 0.08955 0.74630 0.06448 0.96476 0.07212 0.0039221 1.9359
2461183.3251238 -0.32999 0.09363 0.81528 0.06643 1.14527 0.07701 0.0039221 1.9361
2461183.3252564 -0.45479 0.10563 0.82970 0.06130 1.28448 0.09373 0.0039221 1.9363
2461183.3255243 -0.38105 0.08983 0.84649 0.05832 1.22754 0.07739 0.0039221 1.9366
2461183.3256567 -0.41303 0.10044 0.95155 0.05741 1.36458 0.08843 0.0039221 1.9368
2461183.3258557 -0.12810 0.08442 0.82373 0.06674 0.95182 0.06685 0.0039220 1.9370
2461183.3259882 -0.41403 0.09709 0.74714 0.06253 1.16116 0.08217 0.0039220 1.9372
2461183.3261209 -0.40199 0.09708 0.68071 0.06486 1.08270 0.08500 0.0039220 1.9374
2461183.3262534 -0.20901 0.09745 0.77220 0.06904 0.98121 0.07998 0.0039220 1.9375
2461183.3263872 -0.47391 0.09815 99.99999 9.99999 99.99999 9.99999 0.0039220 1.9377
2461183.3265868 -0.39687 0.10427 0.78786 0.06770 1.18473 0.08934 0.0039220 1.9379
2461183.3267189 -0.33096 0.09593 0.82224 0.06611 1.15320 0.07908 0.0039220 1.9381
2461183.3268519 -0.35912 0.09944 0.90636 0.06099 1.26548 0.08640 0.0039220 1.9383
2461183.3269858 -0.32745 0.09504 0.90522 0.06097 1.23267 0.08099 0.0039220 1.9385
